Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,23,CS,93.74,95.3,79.74,67.54,98.93,0.68,67.21,82.07,A,23.2,1,1,High School,0,7,5.1
Male,20,Engineering,89.24,44.54,66.83,84.39,51.25,5.0,93.75,96.02,B,15.9,0,0,PhD,0,5,8.7
Female,21,CS,55.61,82.91,96.79,73.18,76.11,8.42,90.6,75.4,C,9.1,0,1,Bachelor's,1,10,6.8
Female,23,Business,75.4314094558,84.14,89.14,87.6,88.69,0.59,83.73,86.13,F,8.9,0,1,Not Reported,1,4,6.9
Female,21,Business,75.4314094558,97.121,50.28,69.91,89.52,5.42,62.93,72.84,D,23.7,0,1,Not Reported,0,6,5.5
Female,20,CS,70.87,86.13,83.21,57.54,86.73,6.51,98.52,60.94,B,25.7,1,1,Not Reported,2,10,8.4
Female,23,Business,97.5205,62.95,69.13,73.07,76.47,5.92,77.43,56.2,A,22.1,1,1,Master's,2,8,8.5
Female,18,CS,86.79,73.43,51.22,97.55,82.55,8.78,95.38,56.82,B,23.0,1,0,Bachelor's,1,7,7.6
Male,19,Business,52.899,61.99,81.92,90.08,85.0,8.66,60.79,52.4495,D,26.2,1,1,Not Reported,0,3,4.5
Male,24,Engineering,94.0,51.76,72.84,60.29,74.73,0.57,99.17,77.65,B,15.7,1,1,Bachelor's,1,2,4.4
Male,24,CS,55.04,54.91,42.978,69.57,79.78,3.61,90.8,56.56,D,9.2,0,1,Not Reported,1,10,6.3
Male,24,CS,57.03,53.32,78.8,96.39,92.32,6.71,97.46,93.28,F,14.4,0,1,PhD,0,5,4.7
Male,21,CS,86.72,72.93,78.1,56.18,65.64,9.52,60.62,97.513,A,28.9,0,1,Bachelor's,1,9,5.7
Female,23,Engineering,93.25,94.37,48.65,62.7,76.16,8.05,71.53,74.79,A,16.2,0,1,High School,1,10,4.9
Male,23,Engineering,76.82,94.76,60.94,63.11,50.42,1.77,54.88,72.48,D,28.1,0,1,Bachelor's,2,5,5.6
Male,20,CS,75.4314094558,43.29,75.15,78.55,84.37,2.79,56.85,67.4,A,22.6,1,1,High School,0,10,8.7
Male,18,CS,67.57,44.79,48.33,70.54,59.77,7.64,64.2,81.9,C,23.4,1,1,Not Reported,0,1,7.8
Female,22,CS,67.14,54.71,91.16,53.99,74.05,4.71,97.58,80.4,F,9.8,0,0,High School,0,9,4.7
Female,23,Business,66.33,55.3,42.978,81.46,60.51,5.47,83.36,67.17,A,14.2,0,1,Master's,2,2,7.3
Female,19,Business,75.4314094558,45.69,46.17,54.95,51.18,6.09,65.73,67.16,A,23.3,1,1,PhD,0,2,4.2
Male,20,CS,80.44,63.31,46.97,80.32,74.16,1.03,97.73,82.24,B,21.4,0,1,High School,1,6,8.8
Male,23,Engineering,95.02,75.26,71.69,75.35,71.24,8.56,86.99,77.73,A,26.6,0,1,PhD,2,3,6.7
Male,23,CS,65.35,74.69,77.21,74.68,71.26,8.63,95.35,85.93,F,10.2,0,1,Not Reported,2,5,6.5
Male,20,Mathematics,59.33,72.61,64.22,53.37,60.44,4.68,96.36,97.07,D,23.7,1,1,Not Reported,1,5,5.2
Male,20,Mathematics,91.93,60.32,57.32,81.96,97.36,6.27,87.54,88.98,B,6.3,1,1,Bachelor's,2,3,6.3
Female,21,Engineering,87.09,82.39,88.56,71.57,50.18,6.6,62.16,65.22,A,12.5,0,1,High School,1,8,6.6
Male,23,Mathematics,96.54,89.59,44.1,70.56,94.58,1.9,99.83,87.96,B,20.8,1,1,Not Reported,2,3,7.3
Female,22,Business,58.28,60.78,56.82,79.82,86.85,1.13,66.25,72.5,C,28.9,0,1,High School,0,6,4.2
Male,19,Business,57.21,45.13,42.978,80.31,58.6,0.21,83.59,88.88,D,28.9,0,1,Master's,1,10,5.7
Female,18,Engineering,75.4314094558,57.78,42.978,50.75,73.61,9.13,92.24,94.33,F,16.0,0,0,PhD,1,5,5.9
Female,18,CS,80.72,48.24,61.2,56.26,99.44,3.46,58.76,62.5,F,24.1,0,1,High School,1,7,4.7
Female,22,CS,74.01,68.04,51.69,61.83,82.18,0.86,80.45,61.93,B,20.0,1,1,Not Reported,1,6,5.2
Female,20,CS,79.95,49.36,56.1,83.9,56.37,4.66,68.76,71.63,A,22.7,0,1,Not Reported,0,9,5.2
Male,20,Engineering,59.02,67.77,89.26,78.84,72.88,0.76,62.21,52.58,C,23.3,1,1,Bachelor's,0,2,8.1
Male,20,CS,73.98,53.26,49.78,87.88,73.41,0.85,50.59,84.28,F,18.7,0,1,PhD,1,10,7.4
Male,23,CS,82.9,84.32,86.81,87.03,90.11,4.89,93.6,87.49,F,25.3,1,1,Not Reported,0,6,8.6
Female,20,Engineering,71.64,43.29,80.5,92.66,95.81,5.09,56.79,67.27,A,19.6,0,1,PhD,0,10,5.5
Male,20,CS,75.4314094558,73.28,59.59,68.84,54.11,5.8,93.91,73.26,B,7.5,0,1,PhD,2,10,8.4
Male,23,Engineering,72.56,50.17,72.79,67.25,65.7,6.56,80.03,79.52,F,28.9,0,1,High School,0,5,8.3
Male,23,Mathematics,75.4314094558,43.29,66.67,91.55,64.92,6.68,81.05,53.68,D,12.6,0,1,Bachelor's,0,9,6.2
Male,22,Business,65.18,92.15,47.7,61.88,99.8,4.33,91.43,85.56,B,28.9,0,1,Bachelor's,0,2,7.1
Female,21,Engineering,75.4314094558,80.29,94.43,73.06,77.96,6.44,75.47,76.34,A,12.3,1,1,Bachelor's,1,8,7.0
Female,23,Engineering,75.4314094558,45.94,74.18,59.72,93.99,3.05,67.86,81.21,C,26.3,1,1,Not Reported,2,7,5.5
Male,19,Engineering,83.43,79.84,92.81,95.69,71.3,4.41,56.94,86.19,F,22.2,0,1,Not Reported,0,1,5.3
Male,20,CS,92.26,76.7,89.43,70.39,86.14,3.93,78.52,83.78,A,13.9,0,0,Not Reported,1,3,4.8
Male,21,Business,67.73,68.4,44.79,74.81,64.33,3.29,77.66,54.77,C,28.5,1,1,Bachelor's,0,4,8.2
Female,18,CS,52.899,65.16,52.44,74.81,95.59,2.39,64.69,89.13,C,19.6,0,1,PhD,1,8,6.7
Female,22,CS,97.5205,93.22,48.72,62.23,72.76,0.78,80.0,80.5,A,25.7,0,1,PhD,1,2,5.7
Female,21,Business,63.18,54.71,89.85,97.18,90.19,5.06,71.97,85.74,F,24.9,0,1,High School,1,8,6.5
Male,23,CS,56.33,63.9,91.75,68.38,62.79,5.37,90.28,63.08,D,6.3,0,1,Not Reported,2,2,4.4
Female,20,CS,68.49,59.75,71.68,83.23,84.68,3.36,77.97,61.07,D,11.7,0,1,Bachelor's,2,3,4.5
Female,20,CS,86.93,86.27,46.25,74.81,70.26,9.76,96.68,91.3,A,16.8,0,1,Master's,2,8,7.8
Female,20,CS,64.7,94.99,48.14,90.36,51.57,5.57,75.9,69.52,F,28.3,0,1,Not Reported,1,9,8.5
Female,21,CS,78.74,90.99,88.81,94.85,70.65,8.89,94.37,78.77,F,6.6,0,1,High School,1,5,5.6
Female,20,CS,75.4314094558,87.86,95.75,74.81,77.5,5.7,76.03,77.58,A,9.6,0,1,Bachelor's,0,4,6.0
Male,23,Engineering,55.89,97.121,51.97,92.42,57.59,1.9,77.9,79.26,C,20.6,0,1,Not Reported,0,3,5.9
Male,21,Business,66.51,81.83,42.978,55.09,59.2,9.75,68.34,53.48,A,21.3,0,1,Not Reported,1,3,6.4
Male,20,CS,75.4314094558,85.06,59.86,96.2,73.24,8.85,70.01,65.12,C,9.1,0,1,High School,1,9,6.1
Male,18,Business,75.4314094558,97.121,42.978,81.22,67.14,4.71,96.66,53.32,D,28.7,1,0,High School,0,4,5.9
Female,18,CS,55.99,43.29,89.68,93.46,72.04,2.43,61.16,74.01,F,9.4,1,0,Master's,0,2,7.3
Male,19,CS,58.17,78.04,69.49,84.22,73.04,2.23,56.07,95.1,D,9.6,0,1,High School,1,4,5.4
Male,20,CS,82.04,84.34,78.51,60.09,57.0,8.06,91.51,69.46,B,20.9,0,1,Not Reported,0,3,8.7
Male,20,Engineering,90.67,95.07,64.69,74.81,59.06,0.69,78.85,89.12,B,15.5,0,1,Not Reported,1,5,5.5
Female,21,Engineering,75.4314094558,93.03,60.73,54.55,92.41,6.38,64.23,64.36,A,6.3,1,1,Master's,1,4,5.1
Male,21,Engineering,79.77,90.52,53.33,84.79,58.14,6.4,71.62,92.81,A,28.0,0,1,Not Reported,2,2,8.8
Female,24,Business,58.53,96.75,86.23,70.45,83.3,1.82,76.25,70.98,F,6.9,1,1,Bachelor's,1,10,5.1
Female,20,Engineering,65.57,72.24,81.73,57.59,70.93,7.05,79.61,67.76,F,8.9,1,1,Not Reported,0,1,6.7
Female,19,Engineering,52.899,43.29,61.64,98.96,98.41,7.05,91.05,84.87,F,27.4,0,1,Not Reported,0,1,5.6
Male,20,Mathematics,88.41,43.29,59.27,74.81,53.31,3.5,69.72,75.64,A,11.9,0,1,Bachelor's,0,1,4.4
Female,23,CS,70.05,72.68,42.978,94.68,91.52,4.83,83.83,66.87,B,25.4,1,1,Master's,0,3,8.8
Male,21,CS,90.81,66.12,43.81,89.44,74.57,8.33,91.74,52.9,A,9.3,1,1,Not Reported,1,2,5.9
Male,20,Business,85.42,67.07,77.4,84.6,50.27,5.23,92.19,58.33,A,6.3,0,1,PhD,1,4,7.2
Male,21,Engineering,91.44,64.02,70.88,82.75,63.18,6.18,62.71,88.62,A,10.9,1,1,Not Reported,1,3,8.3
Female,20,CS,64.28,95.06,66.09,55.3,70.38,4.13,67.51,96.04,C,23.6,1,1,PhD,1,7,6.8
Female,22,CS,59.26,61.55,89.65,95.03,65.71,1.5,79.75,58.44,D,21.6,0,1,Not Reported,1,8,7.6
Male,21,Engineering,97.5205,91.37,70.23,94.06,68.12,9.98,94.29,78.47,B,12.8,0,1,Bachelor's,2,5,7.9
Female,19,Engineering,85.87,94.17,63.07,87.39,95.83,5.32,89.52,52.4495,A,20.8,0,0,Master's,2,6,5.9
Female,22,CS,75.4314094558,69.97,49.68,96.37,68.05,3.36,79.2,64.54,B,21.6,0,1,PhD,0,7,7.1
Female,23,Mathematics,52.899,66.82,89.24,77.65,70.94,7.14,99.19,72.44,F,19.1,0,0,Master's,1,9,5.0
Male,20,Business,67.72,85.66,74.57,72.38,88.06,6.21,71.95,86.79,A,28.4,0,1,Not Reported,0,1,4.3
Female,24,Engineering,87.14,82.48,45.55,98.4,89.69,2.33,92.12,52.4495,A,24.8,1,1,Not Reported,1,2,8.8
Female,23,Engineering,53.9,59.71,78.93,73.21,54.2,8.77,90.92,89.06,C,25.4,0,1,Not Reported,0,1,4.5
Male,21,Business,78.37,46.15,65.5,82.07,85.2,0.71,95.4,60.13,A,15.6,0,1,PhD,1,9,6.1
Female,22,CS,71.45,55.89,88.68,68.65,74.13,6.06,99.38,87.98,B,22.1,0,1,Bachelor's,0,2,4.3
Male,23,CS,52.899,47.86,95.13,81.82,56.69,4.78,74.78,81.27,C,9.6,0,0,PhD,0,2,8.6
Female,19,Engineering,61.8,57.68,76.03,86.0,63.24,3.18,59.78,66.98,D,12.4,0,1,PhD,0,5,4.5
Female,24,Business,64.24,55.71,83.9,81.23,52.25,8.26,73.04,86.19,F,17.6,0,1,Not Reported,2,9,7.9
Female,21,CS,55.59,78.26,43.4,75.73,68.01,6.56,92.69,61.82,D,25.4,0,1,PhD,0,3,7.6
Female,22,Mathematics,81.58,97.121,73.62,65.01,62.77,7.59,91.81,60.99,D,13.4,0,1,Bachelor's,2,10,4.2
Female,23,Engineering,62.12,81.14,85.32,82.19,69.11,4.15,66.8,53.09,B,16.0,0,1,Not Reported,2,8,7.6
Female,22,CS,63.88,95.6,69.81,95.42,79.02,9.42,52.37,69.65,D,28.9,0,1,Not Reported,0,10,8.8
Male,22,CS,75.4314094558,87.05,75.61,50.35,86.62,3.45,75.49,54.89,A,12.1,0,1,PhD,1,1,6.6
Female,23,CS,73.36,83.67,93.94,56.7,80.27,5.31,73.71,70.98,D,20.5,0,1,Not Reported,2,10,5.4
Female,18,Business,69.61,64.84,51.89,55.99,83.92,9.34,54.29,52.4495,C,7.5,1,1,Not Reported,1,2,6.7
Female,20,Mathematics,86.19,59.49,45.89,96.16,93.28,0.83,89.74,57.75,B,15.3,0,1,Not Reported,0,8,4.6
Male,21,Engineering,95.48,90.78,81.44,83.14,93.69,1.09,64.18,96.62,A,13.3,1,1,Not Reported,2,1,8.8
Male,21,Mathematics,52.899,94.32,89.37,97.59,93.04,9.94,82.29,89.78,D,6.3,0,1,Bachelor's,0,9,5.8
Male,24,Business,72.41,67.11,91.03,74.81,57.66,9.71,55.07,61.81,D,19.6,1,1,High School,0,4,6.3
Female,24,Engineering,80.54,43.29,78.5,73.09,62.55,7.72,93.04,85.91,A,13.3,0,1,Bachelor's,0,3,6.0
Female,24,Engineering,65.93,87.55,89.99,89.62,75.12,4.84,86.96,83.42,D,11.3,0,1,Not Reported,1,3,4.2
Male,21,Engineering,88.62,57.1,82.04,58.05,67.94,5.06,69.42,58.85,A,27.3,1,1,Not Reported,0,1,4.2
Male,22,Engineering,97.5205,43.29,45.24,69.07,56.58,2.57,81.47,68.55,A,10.7,0,1,Not Reported,2,8,6.8
Male,24,CS,97.17,88.3,85.72,74.81,64.39,4.33,59.37,95.69,B,15.1,1,1,Not Reported,0,4,6.5
Female,23,Engineering,63.3,71.04,50.76,64.92,98.77,4.31,99.27,86.94,C,28.7,0,1,Bachelor's,0,1,8.8
Male,20,CS,61.32,81.11,54.2,68.56,67.35,0.36,89.81,88.02,F,7.0,0,0,PhD,2,5,5.3
Female,19,Business,97.5205,94.88,63.68,53.91,70.95,4.53,89.45,78.19,A,28.5,1,1,Bachelor's,2,10,5.8
Female,21,Business,72.93,72.47,58.87,59.9,50.32,4.8,57.67,83.28,D,14.8,1,1,Bachelor's,1,8,8.8
Female,23,CS,75.4314094558,70.19,59.3,66.77,85.97,6.66,50.89,75.44,C,24.8,1,1,Bachelor's,1,8,4.2
Male,20,CS,85.35,57.44,50.16,89.79,70.68,5.16,79.27,87.04,A,13.9,0,1,Master's,1,10,7.2
Female,20,Engineering,75.4314094558,58.31,57.63,74.81,55.16,8.62,57.21,86.64,B,15.4,0,1,PhD,1,3,4.5
Male,18,Engineering,63.36,87.79,42.978,67.33,98.43,3.68,89.02,52.4495,C,15.9,0,1,High School,1,4,8.7
Male,23,CS,93.96,66.94,68.37,53.25,88.87,4.1,70.8,81.59,A,28.7,0,1,Not Reported,2,10,5.4
Male,21,Engineering,58.12,49.81,86.12,77.86,86.31,5.71,66.93,81.49,D,18.8,0,1,Bachelor's,2,4,8.1
Male,24,CS,75.4314094558,45.67,91.73,80.56,97.89,2.03,53.68,53.37,A,10.4,0,1,Not Reported,2,3,8.6
Female,22,CS,63.46,68.38,89.23,93.28,70.37,3.93,99.8,70.52,F,20.3,0,1,High School,0,6,8.2
Female,24,CS,80.35,67.9,64.99,90.96,85.93,6.86,97.8,94.94,C,27.2,0,1,High School,0,3,6.8
Female,20,CS,56.15,79.21,83.83,64.27,60.31,4.12,56.58,97.513,D,10.4,0,1,Master's,0,6,8.8
Female,20,Business,73.58,68.26,57.27,56.85,84.86,9.07,66.64,89.11,F,13.4,0,1,Not Reported,2,5,7.4
Male,19,Mathematics,81.37,48.61,43.33,57.8,50.7,6.15,69.54,57.57,F,19.3,0,1,Bachelor's,0,2,7.9
Male,24,Engineering,92.44,70.47,80.56,98.45,56.32,1.54,64.84,68.74,A,28.9,0,1,Bachelor's,0,8,5.2
Male,18,Engineering,61.49,94.41,78.93,74.81,71.26,4.87,96.72,59.13,F,16.6,0,1,PhD,2,7,6.1
Male,20,CS,90.87,49.57,88.1,52.13,50.6,7.65,86.07,82.61,B,19.6,0,0,High School,0,7,7.0
Female,20,Engineering,61.75,81.39,76.97,56.84,73.1,6.43,97.8,88.66,B,8.4,1,1,Master's,0,6,4.7
Male,22,CS,83.84,75.63,49.41,74.29,76.14,8.85,93.73,94.19,C,24.0,0,1,High School,2,9,8.8
Female,22,Engineering,71.53,84.92,91.19,60.39,81.08,7.5,87.73,93.03,A,10.5,0,0,PhD,0,4,4.5
Male,19,Mathematics,55.73,49.04,77.64,90.18,55.02,0.62,84.85,54.96,C,13.2,0,1,Not Reported,2,5,7.7
Male,23,CS,85.71,96.5,88.46,78.66,59.05,1.13,93.31,56.28,B,22.7,1,1,Bachelor's,0,9,4.3
Male,19,Business,75.4314094558,77.26,86.45,80.63,80.66,6.5,84.21,95.48,A,22.8,0,1,High School,0,3,4.5
Male,19,CS,58.83,90.82,57.87,73.14,82.91,2.38,59.44,92.19,D,13.0,0,0,Bachelor's,0,3,7.1
Female,22,CS,67.92,54.8,44.47,62.8,51.3,5.88,82.41,73.02,D,26.3,0,1,PhD,2,8,6.3
Female,24,CS,82.66,84.36,50.59,79.47,77.02,7.92,75.75,71.5,B,24.9,0,1,Not Reported,1,10,4.2
Female,24,CS,61.7,86.86,45.57,85.85,89.25,5.77,99.09,77.64,A,20.4,0,1,Master's,0,6,6.0
Female,24,CS,59.18,63.85,54.6,74.81,53.46,4.15,75.5,79.83,F,9.5,0,1,Not Reported,1,2,5.3
Male,23,CS,75.4314094558,63.04,67.57,75.25,70.66,6.46,51.92,62.71,A,27.6,0,1,Master's,0,3,8.4
Male,22,Engineering,73.58,79.47,94.41,91.98,66.33,1.44,63.21,70.19,A,18.2,0,1,High School,1,8,7.5
Female,18,CS,71.43,45.6,92.32,57.43,95.68,7.23,95.87,80.98,B,14.4,0,1,Not Reported,0,5,7.7
Female,21,Engineering,61.69,84.14,83.12,77.26,59.29,6.97,98.12,60.31,D,28.2,0,1,High School,2,2,8.8
Male,21,Mathematics,52.899,43.29,42.978,67.42,65.92,5.14,86.42,97.513,D,28.9,1,1,Not Reported,1,3,7.5
Male,18,Engineering,71.46,51.44,60.48,85.14,94.92,2.79,52.84,64.15,C,22.9,0,0,High School,2,2,4.8
Female,24,CS,89.41,79.85,80.94,50.94,66.53,7.98,51.18,77.62,A,24.8,1,1,PhD,1,5,8.7
Female,21,CS,85.76,45.9,47.74,83.52,76.57,5.11,73.98,77.71,A,11.2,0,1,PhD,1,5,4.6
Female,23,Business,93.04,97.121,88.07,55.14,51.65,0.59,99.98,72.57,B,11.5,0,1,Not Reported,1,9,5.0
Male,22,Engineering,52.899,92.1,94.87,53.24,99.25,9.19,93.46,62.08,C,19.2,0,1,Not Reported,1,6,5.4
Female,21,Engineering,97.5205,77.58,61.25,86.23,91.25,7.68,96.66,78.27,A,28.9,0,1,Not Reported,0,2,4.9
Female,23,CS,67.07,89.14,82.35,82.02,81.72,5.85,81.18,54.55,C,23.6,0,1,Master's,1,1,4.2
Female,22,Engineering,97.5205,93.25,48.89,94.75,53.04,4.37,92.96,69.35,A,23.6,0,0,High School,1,7,6.3
Female,23,CS,62.63,55.57,81.45,75.98,53.74,9.6,65.98,61.21,A,11.4,0,1,Not Reported,1,7,7.4
Female,18,Mathematics,75.4314094558,90.96,42.978,76.5,77.25,7.75,51.37,56.21,F,15.5,0,1,Master's,0,10,6.1
Male,19,Business,67.7,51.69,49.05,85.35,64.25,5.35,95.91,96.27,D,13.6,0,1,Master's,0,6,5.2
Female,18,CS,67.79,64.8,82.59,66.17,81.14,6.53,60.92,85.0,B,12.6,0,1,Not Reported,1,2,8.4
Male,21,Engineering,92.11,73.5,82.71,51.85,79.91,2.81,86.42,58.44,A,23.3,0,1,Bachelor's,0,8,5.9
Female,22,CS,75.4314094558,82.83,78.47,61.5,91.93,1.96,82.95,97.47,B,7.5,0,1,High School,0,4,8.2
Female,23,Engineering,97.5205,43.29,68.64,61.9,64.07,2.73,57.91,60.8,A,9.1,0,1,Bachelor's,0,7,4.9
Female,21,Business,80.68,57.43,80.49,66.78,78.89,2.93,59.79,61.78,B,15.3,1,1,Bachelor's,0,8,5.7
Male,21,Engineering,73.16,76.51,86.43,97.17,88.87,7.4,66.45,56.66,C,12.6,0,1,High School,0,7,8.0
Male,19,CS,75.4314094558,61.44,96.79,90.24,74.54,1.4,87.85,86.39,B,27.6,0,1,PhD,2,3,4.2
Male,24,CS,97.5205,86.5,93.32,96.8,91.53,7.78,51.96,78.54,A,10.0,1,1,Not Reported,0,8,8.6
Female,21,Business,77.58,79.1,87.67,99.93,56.56,5.23,70.35,52.91,F,11.2,0,1,Master's,1,4,6.0
Female,19,Engineering,85.02,54.06,81.69,71.69,86.69,3.85,83.26,52.4495,A,9.5,0,1,Not Reported,2,8,8.8
Male,22,Engineering,70.34,48.76,74.45,61.35,97.15,3.0,58.57,76.63,F,26.5,1,1,Bachelor's,2,5,7.5
Male,22,CS,77.39,77.74,47.24,78.0,66.59,5.13,55.97,82.58,B,10.1,1,0,PhD,1,9,8.7
Female,23,CS,97.13,67.03,49.93,94.06,68.32,3.18,69.51,91.14,B,13.8,1,1,PhD,2,3,4.3
Male,24,Mathematics,58.32,50.14,89.22,74.81,54.18,4.29,64.33,73.91,D,21.7,1,1,Not Reported,1,2,7.6
Female,19,Engineering,64.62,59.58,88.2,75.27,82.07,7.39,82.45,83.83,A,6.9,1,1,Bachelor's,1,4,8.4
Male,18,Engineering,57.6,58.18,76.87,56.72,77.62,6.26,98.48,86.68,C,25.4,1,1,Not Reported,2,2,8.8
Male,22,Engineering,89.61,46.49,66.33,71.02,52.02,7.48,50.22,80.65,A,22.7,0,1,Master's,0,2,4.2
Male,24,Business,53.1,72.81,42.978,74.81,87.61,7.13,95.12,67.61,F,11.5,0,1,Not Reported,0,1,4.4
Female,23,CS,54.08,85.82,59.63,67.58,91.46,8.15,71.66,56.59,D,14.8,1,1,Master's,1,8,7.7
Female,18,CS,64.92,74.53,65.24,94.36,95.36,2.02,83.2,82.38,D,20.5,1,1,Bachelor's,0,1,4.2
Male,22,Engineering,75.71,89.58,69.15,52.97,77.29,9.95,92.55,88.43,B,28.7,0,0,Not Reported,0,8,4.2
Female,22,Engineering,75.4314094558,47.65,95.76,98.61,72.63,4.76,78.67,59.49,D,20.7,1,1,Bachelor's,2,9,6.7
Female,23,Business,75.4314094558,66.14,46.52,74.81,93.81,7.18,54.87,74.74,A,11.3,1,1,PhD,0,6,6.6
Female,23,Business,97.5205,76.56,71.13,97.28,69.93,6.78,57.03,69.86,A,17.1,1,1,Not Reported,0,7,7.1
Female,20,CS,97.5205,80.56,62.08,77.4,82.77,5.66,89.46,60.29,A,16.2,1,1,Master's,2,6,4.2
Male,21,CS,63.97,81.75,96.79,85.12,80.77,9.96,61.45,62.27,A,18.3,0,1,Not Reported,0,1,6.5
Female,21,Mathematics,86.58,83.74,91.71,59.36,68.61,2.17,78.45,61.88,A,18.0,1,1,Not Reported,2,1,5.4
Female,18,Engineering,78.93,79.09,66.33,82.71,54.34,4.22,71.4,70.95,B,14.1,0,1,Not Reported,1,1,7.8
Male,21,Engineering,61.87,45.65,96.79,94.1,51.07,1.28,65.18,69.52,D,26.8,0,1,Master's,2,3,5.7
Female,18,Engineering,63.11,81.72,70.84,56.97,71.41,1.82,89.35,77.71,B,13.3,0,1,Bachelor's,2,7,5.8
Female,24,Engineering,74.56,83.49,50.03,56.35,74.06,7.13,86.56,54.66,B,18.2,0,1,Not Reported,1,8,7.3
Female,22,CS,70.96,97.121,73.35,65.2,91.13,0.05,82.31,79.06,D,11.5,1,1,Bachelor's,2,1,7.3
Male,20,Business,64.56,81.6,53.57,58.09,70.72,8.9,68.63,52.4495,B,15.9,0,1,PhD,1,6,4.3
Male,20,Business,90.38,81.21,78.18,74.81,64.06,6.33,61.32,62.87,A,22.0,0,1,Not Reported,1,8,7.1
Female,22,Engineering,74.07,70.89,96.25,83.92,73.1,4.41,75.79,75.11,A,23.9,1,0,High School,1,5,7.3
Female,23,Engineering,82.74,92.08,87.17,60.69,61.9,3.31,90.86,84.35,C,25.2,1,1,High School,0,2,6.3
Male,19,CS,59.46,97.121,56.39,83.35,54.57,1.26,78.78,88.56,D,23.4,0,1,Not Reported,2,4,8.1
Male,19,CS,76.68,86.74,57.81,93.1,55.65,9.22,98.51,52.4495,F,16.7,0,0,Not Reported,0,4,4.2
Male,21,CS,65.9,76.75,44.16,82.6,65.96,7.12,50.77,76.87,F,6.3,1,0,Not Reported,0,4,8.8
Female,23,CS,76.32,44.74,57.15,55.97,50.63,3.36,99.92,67.72,D,18.1,0,1,Not Reported,1,8,5.9
Female,18,Mathematics,75.4314094558,83.6,45.56,78.68,61.01,0.71,84.57,84.75,D,6.4,1,1,Master's,0,6,7.0
Male,24,Business,88.45,82.51,69.97,69.68,89.38,3.26,91.63,64.19,B,28.9,0,1,High School,1,9,4.2
Female,20,Engineering,67.71,86.53,82.5,67.17,61.73,1.85,66.75,87.19,A,14.4,0,1,PhD,1,10,7.5
Female,21,Engineering,84.71,47.47,85.07,65.93,55.54,7.86,75.42,80.11,C,17.6,0,1,High School,1,1,6.7
Female,22,CS,97.06,79.22,43.57,96.47,97.45,7.2,89.85,89.48,B,8.2,1,0,Not Reported,0,1,8.8
Female,23,Mathematics,75.4314094558,57.74,60.4,87.13,81.12,4.98,88.03,97.513,F,28.9,0,1,Not Reported,2,2,6.1
Female,20,CS,57.42,85.62,57.29,74.81,53.0,8.86,66.7,95.43,D,17.3,0,1,High School,1,5,7.6
Female,18,CS,83.99,54.42,46.26,74.81,53.11,1.81,66.22,79.66,A,12.5,0,1,PhD,0,6,4.4
Female,18,Engineering,55.25,81.04,61.75,65.91,80.61,4.52,83.14,94.69,F,9.8,1,1,Not Reported,0,3,4.3
Male,19,Business,93.61,57.7,57.96,98.9,77.01,7.11,96.68,57.65,A,21.2,0,1,Master's,1,1,8.7
Male,21,Business,75.83,43.29,78.07,98.9,53.42,0.68,71.94,52.4495,A,15.9,0,1,High School,1,7,5.3
Male,22,CS,69.26,78.0,93.0,65.98,61.22,3.73,67.65,76.66,F,12.9,1,0,Not Reported,2,1,8.6
Male,20,Business,52.899,46.8,67.29,67.61,96.45,5.72,94.73,97.513,F,6.3,0,1,High School,0,7,4.4
Male,24,CS,69.04,79.56,84.8,79.97,78.6,3.67,84.15,85.49,F,6.3,1,1,Not Reported,2,9,7.2
Male,18,CS,75.4314094558,95.54,48.76,73.97,72.02,4.8,69.41,65.26,A,22.3,1,1,Bachelor's,1,1,6.8
Male,20,Business,52.899,97.121,93.7,60.66,62.51,6.08,52.86,83.44,C,17.0,1,1,Bachelor's,1,8,8.8
Male,22,Business,73.73,54.16,49.16,83.02,56.68,3.68,86.07,52.4495,F,26.2,1,1,Master's,2,10,6.0
Male,20,Engineering,96.56,88.56,51.53,66.71,70.13,1.06,67.64,73.53,A,23.8,1,1,PhD,2,9,4.2
Female,21,Engineering,69.74,61.21,46.39,82.69,96.12,1.39,53.53,61.86,A,19.3,0,1,Not Reported,1,8,6.4
Female,19,Business,71.41,94.03,58.58,69.18,52.44,5.27,80.61,52.46,C,19.0,0,0,Bachelor's,0,1,8.1
Male,20,Business,78.93,87.25,73.14,85.01,99.55,1.75,66.15,62.5,F,23.6,0,0,Not Reported,0,4,4.3
Female,23,Business,73.15,44.44,96.79,83.39,60.39,8.9,66.92,86.12,C,23.5,0,0,Not Reported,1,10,4.2
Female,19,Engineering,58.43,64.43,87.6,75.44,70.44,8.34,73.96,77.56,F,13.4,0,1,Master's,0,4,8.1
Male,22,Mathematics,52.899,60.24,62.83,85.24,52.25,3.49,85.87,52.4495,C,7.6,1,1,Master's,1,1,8.1
Male,19,Mathematics,80.49,87.11,74.55,73.05,79.24,8.31,63.82,70.49,F,24.3,0,1,Master's,1,7,5.0
